Vendor,PO Number,PO Type,Ship Date,Newness Flag,Vendor Confirmed Ship Date,Comments
Ethnicraft USA LLC,PO9448362,Stock,8/19/2022,,,
Ethnicraft USA LLC,PO9463612,Stock,8/22/2022,,,
Ethnicraft USA LLC,PO9464368,Stock,8/26/2022,,,
Ethnicraft USA LLC,PO9465638,Stock,8/29/2022,,,
Ethnicraft USA LLC,PO9466532,Stock,9/2/2022,,,
Ethnicraft USA LLC,PO9467299,Stock,9/5/2022,,,
Ethnicraft USA LLC,PO9468129,Stock,9/9/2022,,,
Ethnicraft USA LLC,PO9469956,Stock,9/16/2022,,,
Euro Lighting Designs,PO9452001,Stock,8/10/2022,,,
Euro Lighting Designs,PO9452003,Stock,8/24/2022,,,
Euro Lighting Designs,PO9466534,Stock,9/5/2022,,,
Euro Lighting Designs,PO9468132,Stock,9/12/2022,,,
Euro Lighting Designs,PO9471251,Stock,9/12/2022,,,
Euro Lighting Designs,PO9452004,Stock,9/14/2022,,,
Euro Lighting Designs,PO9469958,Stock,9/19/2022,,,
Euro Lighting Designs,PO9469959,Stock,9/19/2022,,,
Euro Lighting Designs,PO9470381,Studio Sample,9/21/2022,,,
Euro Lighting Designs,PO9470392,Studio Sample,9/21/2022,,,
Euro Lighting Designs,PO9471252,Stock,9/22/2022,,,
"FABRIC INNOVATIONS, INC.",PO9433945,Stock,8/5/2022,,,
"FANCHER CHAIR CO, INC.",PO9469318,Stock,10/20/2022,Newness,,
"FANCHER CHAIR CO, INC.",PO9462415,Studio Sample,12/7/2022,Newness,,
"FANCHER CHAIR CO, INC.",PO9376353,Stock,9/2/2022,,,
"FANCHER CHAIR CO, INC.",PO9448067,Stock,9/2/2022,,,
"FANCHER CHAIR CO, INC.",PO9453031,Stock,9/9/2022,,,
"FANCHER CHAIR CO, INC.",PO9409005,Stock,9/12/2022,,,
"FANCHER CHAIR CO, INC.",PO9424888,Stock,9/12/2022,,,
"FANCHER CHAIR CO, INC.",PO9451116,Stock,9/12/2022,,,
"FANCHER CHAIR CO, INC.",PO9459030,Stock,9/12/2022,,,
"FANCHER CHAIR CO, INC.",PO9465532,Stock,9/12/2022,,,
"FANCHER CHAIR CO, INC.",PO9442090,Stock,9/18/2022,,,
"FANCHER CHAIR CO, INC.",PO9442091,Stock,9/18/2022,,,
"FANCHER CHAIR CO, INC.",PO9451128,Stock,9/18/2022,,,
Fells Andes,PO9450156,Studio Sample,8/31/2022,Newness,,
Fells Andes,PO9431975,Stock,9/7/2022,,,
Flexhouse,PO9470760,Studio Sample,9/14/2022,Newness,,
Flexhouse,PO9455432,Stock,10/26/2022,Newness,,
Flexhouse,PO9455433,Stock,12/16/2022,Newness,,
Flexhouse,PO9370837,Stock,8/22/2022,,,
Flexhouse,PO9459031,Stock,9/12/2022,,,
Flexhouse,PO9440293,Stock,9/26/2022,,,
FLOS INC.,PO9443696,Stock,9/9/2022,,,
Fogia Collection USD,PO9446033,Contract,7/22/2022,,,
Fogia Collection USD,PO9431946,Stock,8/1/2022,,,
Fogia Collection USD,PO9439162,Contract,8/1/2022,,,
Fogia Collection USD,PO9448068,Stock,8/1/2022,,,
Fogia Collection USD,PO9439163,Contract,8/4/2022,,,
Fogia Collection USD,PO9446034,Contract,8/5/2022,,,
Fogia Collection USD,PO9448125,Contract,8/11/2022,,,
Fogia Collection USD,PO9450068,Stock,8/12/2022,,,
Fogia Collection USD,PO9450079,Contract,8/12/2022,,,
Fogia Collection USD,PO9450387,Stock,8/19/2022,,,
Fogia Collection USD,PO9451129,Stock,8/19/2022,,,
Fogia Collection USD,PO9452016,Stock,8/26/2022,,,
Fogia Collection USD,PO9453000,Stock,9/2/2022,,,
Fogia Collection USD,PO9462380,Stock,9/2/2022,,,
Fogia Collection USD,PO9455356,Contract,9/7/2022,,,
Fogia Collection USD,PO9454391,Stock,9/12/2022,,,
Fogia Collection USD,PO9457767,Stock,9/16/2022,,,
Fogia Collection USD,PO9458443,Stock,9/16/2022,,,
Fogia Collection USD,PO9460188,Stock,9/23/2022,,,
Fogia Collection USD,PO9462868,Contract,9/23/2022,,,
Fogia Collection USD,PO9462381,Stock,9/30/2022,,,
Fogia Collection USD,PO9463468,Contract,9/30/2022,,,
Fogia Collection USD,PO9463754,Stock,9/30/2022,,,
Four Hands LLC,PO9470761,Studio Sample,9/14/2022,,,
Four Hands LLC,PO9469336,Studio Sample,9/19/2022,,,
Four Hands LLC,PO9469360,Studio Sample,9/21/2022,,,
Four Hands LLC,PO9470765,Studio Sample,9/21/2022,,,
FOWSENG INDUSTRIES,PO9360749,Stock,2/9/2022,,,
FOWSENG INDUSTRIES,PO9360751,Stock,2/9/2022,,,
FOWSENG INDUSTRIES,PO9360833,Stock,2/9/2022,,,
FOWSENG INDUSTRIES,PO9360834,Stock,2/9/2022,,,
FOWSENG INDUSTRIES,PO9360835,Stock,2/9/2022,,,
FOWSENG INDUSTRIES,PO9360836,Stock,2/9/2022,,,
FOWSENG INDUSTRIES,PO9371610,Stock,2/9/2022,,,
FOWSENG INDUSTRIES,PO9360791,Stock,2/16/2022,,,
FOWSENG INDUSTRIES,PO9360792,Stock,2/16/2022,,,
FOWSENG INDUSTRIES,PO9371588,Stock,2/16/2022,,,
FOWSENG INDUSTRIES,PO9381361,Stock,2/23/2022,,,
FOWSENG INDUSTRIES,PO9379481,Stock,3/2/2022,,,
FOWSENG INDUSTRIES,PO9360752,Stock,3/9/2022,,,
FOWSENG INDUSTRIES,PO9360837,Stock,3/9/2022,,,
FOWSENG INDUSTRIES,PO9371589,Stock,3/9/2022,,,
FOWSENG INDUSTRIES,PO9381363,Stock,3/9/2022,,,
FOWSENG INDUSTRIES,PO9397398,Stock,3/9/2022,,,
FOWSENG INDUSTRIES,PO9397891,Stock,3/9/2022,,,
FOWSENG INDUSTRIES,PO9398175,Stock,3/23/2022,,,
FOWSENG INDUSTRIES,PO9398176,Stock,3/23/2022,,,
FOWSENG INDUSTRIES,PO9397893,Stock,3/30/2022,,,
FOWSENG INDUSTRIES,PO9398177,Stock,3/30/2022,,,
FOWSENG INDUSTRIES,PO9398178,Stock,3/30/2022,,,
FOWSENG INDUSTRIES,PO9398179,Stock,3/30/2022,,,
FOWSENG INDUSTRIES,PO9398180,Stock,3/30/2022,,,
FOWSENG INDUSTRIES,PO9398181,Stock,3/30/2022,,,
FOWSENG INDUSTRIES,PO9398182,Stock,3/30/2022,,,
FOWSENG INDUSTRIES,PO9398183,Stock,4/6/2022,,,
FOWSENG INDUSTRIES,PO9398184,Stock,4/6/2022,,,
FOWSENG INDUSTRIES,PO9404625,Stock,4/6/2022,,,
FOWSENG INDUSTRIES,PO9404626,Stock,4/6/2022,,,
FOWSENG INDUSTRIES,PO9360753,Stock,4/13/2022,,,
FOWSENG INDUSTRIES,PO9371590,Stock,4/13/2022,,,
FOWSENG INDUSTRIES,PO9371612,Stock,4/13/2022,,,
FOWSENG INDUSTRIES,PO9398185,Stock,4/13/2022,,,
FOWSENG INDUSTRIES,PO9404627,Stock,4/13/2022,,,
FOWSENG INDUSTRIES,PO9398186,Stock,4/20/2022,,,
FOWSENG INDUSTRIES,PO9397895,Stock,4/27/2022,,,
FOWSENG INDUSTRIES,PO9398187,Stock,4/27/2022,,,
FOWSENG INDUSTRIES,PO9398188,Stock,4/27/2022,,,
FOWSENG INDUSTRIES,PO9398189,Stock,4/27/2022,,,
FOWSENG INDUSTRIES,PO9398190,Stock,5/4/2022,,,
FOWSENG INDUSTRIES,PO9398191,Stock,5/11/2022,,,
FOWSENG INDUSTRIES,PO9398192,Stock,5/11/2022,,,
FOWSENG INDUSTRIES,PO9397399,Stock,5/18/2022,,,
FOWSENG INDUSTRIES,PO9404628,Stock,6/1/2022,,,
FOWSENG INDUSTRIES,PO9404629,Stock,6/1/2022,,,
FOWSENG INDUSTRIES,PO9404630,Stock,6/1/2022,,,
FOWSENG INDUSTRIES,PO9398193,Stock,6/8/2022,,,
FOWSENG INDUSTRIES,PO9398194,Stock,6/8/2022,,,
FOWSENG INDUSTRIES,PO9409012,Stock,6/15/2022,,,
FOWSENG INDUSTRIES,PO9397400,Stock,6/22/2022,,,
FOWSENG INDUSTRIES,PO9404631,Stock,6/29/2022,,,
FOWSENG INDUSTRIES,PO9404632,Stock,7/13/2022,,,
FOWSENG INDUSTRIES,PO9409118,Stock,7/13/2022,,,
FOWSENG INDUSTRIES,PO9424983,Stock,7/13/2022,,,
FOWSENG INDUSTRIES,PO9409013,Stock,7/20/2022,,,
FOWSENG INDUSTRIES,PO9409015,Stock,7/20/2022,,,
FOWSENG INDUSTRIES,PO9409016,Stock,7/20/2022,,,
FOWSENG INDUSTRIES,PO9409017,Stock,7/20/2022,,,
FOWSENG INDUSTRIES,PO9409119,Stock,7/20/2022,,,
FOWSENG INDUSTRIES,PO9409120,Stock,7/20/2022,,,
FOWSENG INDUSTRIES,PO9409121,Stock,7/20/2022,,,
FOWSENG INDUSTRIES,PO9409122,Stock,7/20/2022,,,
FOWSENG INDUSTRIES,PO9409123,Stock,7/20/2022,,,
FOWSENG INDUSTRIES,PO9409124,Stock,7/20/2022,,,
FOWSENG INDUSTRIES,PO9409125,Stock,7/20/2022,,,
FOWSENG INDUSTRIES,PO9409126,Stock,7/20/2022,,,
FOWSENG INDUSTRIES,PO9409127,Stock,7/27/2022,,,
FOWSENG INDUSTRIES,PO9411823,Stock,8/1/2022,,,
FOWSENG INDUSTRIES,PO9409128,Stock,8/3/2022,,,
FOWSENG INDUSTRIES,PO9415480,Stock,8/3/2022,,,
FOWSENG INDUSTRIES,PO9416010,Stock,8/3/2022,,,
FOWSENG INDUSTRIES,PO9416011,Stock,8/4/2022,,,
FOWSENG INDUSTRIES,PO9416012,Stock,8/5/2022,,,
FOWSENG INDUSTRIES,PO9414144,Stock,8/6/2022,,,
FOWSENG INDUSTRIES,PO9416013,Stock,8/6/2022,,,
FOWSENG INDUSTRIES,PO9409018,Stock,8/10/2022,,,
FOWSENG INDUSTRIES,PO9409129,Stock,8/10/2022,,,
FOWSENG INDUSTRIES,PO9409130,Stock,8/10/2022,,,
FOWSENG INDUSTRIES,PO9409131,Stock,8/10/2022,,,
FOWSENG INDUSTRIES,PO9317481,Stock,8/11/2022,,,
FOWSENG INDUSTRIES,PO9409132,Stock,8/17/2022,,,
FOWSENG INDUSTRIES,PO9360826,Stock,8/26/2022,,,
FOWSENG INDUSTRIES,PO9415481,Stock,8/31/2022,,,
FOWSENG INDUSTRIES,PO9415482,Stock,8/31/2022,,,
FOWSENG INDUSTRIES,PO9423379,Stock,9/7/2022,,,
FOWSENG INDUSTRIES,PO9424984,Stock,9/7/2022,,,
FOWSENG INDUSTRIES,PO9424985,Stock,9/7/2022,,,
FOWSENG INDUSTRIES,PO9424986,Stock,9/7/2022,,,
FOWSENG INDUSTRIES,PO9424987,Stock,9/7/2022,,,
FOWSENG INDUSTRIES,PO9424988,Stock,9/7/2022,,,
FOWSENG INDUSTRIES,PO9424989,Stock,9/7/2022,,,
FOWSENG INDUSTRIES,PO9424990,Stock,9/7/2022,,,
FOWSENG INDUSTRIES,PO9424991,Stock,9/7/2022,,,
FOWSENG INDUSTRIES,PO9424076,Stock,9/11/2022,,,
FOWSENG INDUSTRIES,PO9371583,Stock,9/16/2022,,,
FRAG SRL,PO9415425,Stock,6/29/2022,,,
FRAG SRL,PO9440812,Stock,7/20/2022,,,
FRAG SRL,PO9432552,Stock,8/3/2022,,,
FRAG SRL,PO9404790,Stock,8/31/2022,,,
FRAG SRL,PO9432554,Stock,8/31/2022,,,
FRAG SRL,PO9415426,Stock,9/5/2022,,,
FRAG SRL,PO9433895,Stock,9/5/2022,,,
FRAG SRL,PO9451057,Stock,9/7/2022,,,
FRAG SRL,PO9451118,Stock,9/8/2022,,,
FRAG SRL,PO9451130,Stock,9/9/2022,,,
FRAG SRL,PO9451117,Stock,9/9/2022,,,
FRAG SRL,PO9432630,Stock,9/12/2022,,,
FRAG SRL,PO9442126,Stock,9/12/2022,,,
FRAG SRL,PO9452018,Stock,9/12/2022,,,
FRAG SRL,PO9433894,Stock,9/15/2022,,,
FRAG SRL,PO9442127,Stock,9/15/2022,,,
FRAG SRL,PO9453552,Stock,9/20/2022,,,
FRAG SRL,PO9454393,Stock,9/22/2022,,,
FRAG SRL,PO9465489,Stock,9/22/2022,,,
FRAG SRL,PO9439570,Stock,9/26/2022,,,
FRITZ HANSEN INC,PO9425859,Contract,9/15/2022,,,
FRITZ HANSEN INC,PO9449063,Stock,9/21/2022,,,
FRITZ HANSEN INC,PO9469297,Photo Sample,9/21/2022,,,
FRITZ HANSEN INC-INTERNATIONAL,PO9443085,Stock,9/9/2022,,,
Fumac A/S,PO9453859,Stock,9/2/2022,Newness,,
Fumac A/S,PO9457543,Stock,10/5/2022,Newness,,
Fumac A/S,PO9453862,Studio Sample,10/12/2022,Newness,,
FURIA CUSCINI SPA,PO9432634,Stock,8/20/2022,Newness,,
FURIA CUSCINI SPA,PO9454395,Stock,9/4/2022,Newness,,
FURIA CUSCINI SPA,PO9457769,Stock,9/9/2022,Newness,,
FURIA CUSCINI SPA,PO9457770,Stock,9/9/2022,Newness,,
FURIA CUSCINI SPA,PO9450096,Stock,9/10/2022,Newness,,
FURIA CUSCINI SPA,PO9458446,Stock,9/16/2022,Newness,,
FURIA CUSCINI SPA,PO9460192,Stock,9/16/2022,Newness,,
FURIA CUSCINI SPA,PO9461021,Stock,9/23/2022,Newness,,
FURIA CUSCINI SPA,PO9462383,Stock,9/23/2022,Newness,,
FURIA CUSCINI SPA,PO9434741,Stock,10/6/2022,Newness,,
FURIA CUSCINI SPA,PO9463757,Stock,10/7/2022,Newness,,
FURIA CUSCINI SPA,PO9464539,Stock,10/7/2022,Newness,,
FURIA CUSCINI SPA,PO9469322,Stock,10/7/2022,Newness,,
FURIA CUSCINI SPA,PO9466539,Stock,10/10/2022,Newness,,
FURIA CUSCINI SPA,PO9470745,Stock,10/24/2022,Newness,,
FURIA CUSCINI SPA,PO9439088,Stock,8/5/2022,,,
FURIA CUSCINI SPA,PO9441282,Stock,8/5/2022,,,
FURIA CUSCINI SPA,PO9441283,Stock,8/5/2022,,,
FURIA CUSCINI SPA,PO9448301,Stock,8/5/2022,,,
FURIA CUSCINI SPA,PO9448983,Stock,8/5/2022,,,
FURIA CUSCINI SPA,PO9451058,Stock,8/5/2022,,,
FURIA CUSCINI SPA,PO9453002,Stock,8/5/2022,,,
FURIA CUSCINI SPA,PO9431948,Stock,8/20/2022,,,
FURIA CUSCINI SPA,PO9432634,Stock,8/20/2022,,,
FURIA CUSCINI SPA,PO9439571,Stock,8/20/2022,,,
FURIA CUSCINI SPA,PO9441877,Stock,8/20/2022,,,
FURIA CUSCINI SPA,PO9450071,Stock,8/20/2022,,,
FURIA CUSCINI SPA,PO9450391,Stock,8/20/2022,,,
FURIA CUSCINI SPA,PO9453553,Stock,9/4/2022,,,
FURIA CUSCINI SPA,PO9453554,Stock,9/4/2022,,,
FURIA CUSCINI SPA,PO9454394,Stock,9/4/2022,,,
FURIA CUSCINI SPA,PO9454395,Stock,9/4/2022,,,
FURIA CUSCINI SPA,PO9456064,Stock,9/4/2022,,,
FURIA CUSCINI SPA,PO9456065,Stock,9/4/2022,,,
FURIA CUSCINI SPA,PO9462384,Stock,9/8/2022,,,
FURIA CUSCINI SPA,PO9457769,Stock,9/9/2022,,,
FURIA CUSCINI SPA,PO9457770,Stock,9/9/2022,,,
FURIA CUSCINI SPA,PO9450096,Stock,9/10/2022,,,
FURIA CUSCINI SPA,PO9451131,Stock,9/16/2022,,,
FURIA CUSCINI SPA,PO9458445,Stock,9/16/2022,,,
FURIA CUSCINI SPA,PO9458446,Stock,9/16/2022,,,
FURIA CUSCINI SPA,PO9459599,Stock,9/16/2022,,,
FURIA CUSCINI SPA,PO9460191,Stock,9/16/2022,,,
FURIA CUSCINI SPA,PO9460192,Stock,9/16/2022,,,
FURIA CUSCINI SPA,PO9462385,Stock,9/22/2022,,,
FURIA CUSCINI SPA,PO9461020,Stock,9/23/2022,,,
FURIA CUSCINI SPA,PO9461021,Stock,9/23/2022,,,
FURIA CUSCINI SPA,PO9462383,Stock,9/23/2022,,,
FURIA CUSCINI SPA,PO9470744,Stock,9/26/2022,,,
FURIA CUSCINI SPA,PO9457868,Stock,9/30/2022,,,
FURIA CUSCINI SPA,PO9457869,Stock,9/30/2022,,,
FURIA CUSCINI SPA,PO9462874,Stock,9/30/2022,,,
FURIA CUSCINI SPA,PO9462875,Stock,9/30/2022,,,
FURIA CUSCINI SPA,PO9463249,Stock,9/30/2022,,,
Furniture for Life,PO9413365,Stock,7/20/2022,,,
Furniture for Life,PO9450393,Stock,8/8/2022,,,
Furniture for Life,PO9441284,Stock,8/12/2022,,,
Furniture for Life,PO9462430,Stock,8/12/2022,,,
"Geiger International, Inc.",PO9441758,Stock,8/11/2022,Newness,,
"Geiger International, Inc.",PO9441761,Stock,9/2/2022,Newness,,
"Geiger International, Inc.",PO9441762,Stock,9/2/2022,Newness,,
"Geiger International, Inc.",PO9441764,Stock,9/9/2022,Newness,,
"Geiger International, Inc.",PO9441763,Stock,9/16/2022,Newness,,
"Geiger International, Inc.",PO9441765,Stock,9/16/2022,Newness,,
"Geiger International, Inc.",PO9441766,Stock,9/23/2022,Newness,,
"Geiger International, Inc.",PO9441767,Stock,9/30/2022,Newness,,
"Geiger International, Inc.",PO9441768,Stock,9/30/2022,Newness,,
"Geiger International, Inc.",PO9441769,Stock,10/14/2022,Newness,,
"Geiger International, Inc.",PO9441770,Stock,10/14/2022,Newness,,
"Geiger International, Inc.",PO9430167,Stock,9/2/2022,,,
"Geiger International, Inc.",PO9436415,Stock,9/2/2022,,,
"Geiger International, Inc.",PO9441762,Stock,9/2/2022,,,
"Geiger International, Inc.",PO9439089,Stock,9/8/2022,,,
"Geiger International, Inc.",PO9439090,Stock,9/8/2022,,,
"Geiger International, Inc.",PO9450166,Stock,9/8/2022,,,
"Geiger International, Inc.",PO9437374,Stock,9/9/2022,,,
"Geiger International, Inc.",PO9441764,Stock,9/9/2022,,,
"Geiger International, Inc.",PO9434052,Stock,9/12/2022,,,
"Geiger International, Inc.",PO9434054,Stock,9/12/2022,,,
"Geiger International, Inc.",PO9434715,Stock,9/14/2022,,,
"Geiger International, Inc.",PO9430168,Stock,9/15/2022,,,
"Geiger International, Inc.",PO9435391,Stock,9/15/2022,,,
"Geiger International, Inc.",PO9443877,Stock,9/15/2022,,,
"Geiger International, Inc.",PO9441763,Stock,9/16/2022,,,
"Geiger International, Inc.",PO9441765,Stock,9/16/2022,,,
"Geiger International, Inc.",PO9441299,Stock,9/19/2022,,,
"Geiger International, Inc.",PO9469337,Studio Sample,9/19/2022,,,
"Geiger International, Inc.",PO9439091,Stock,9/22/2022,,,
"Geiger International, Inc.",PO9441766,Stock,9/23/2022,,,
"Geiger International, Inc.",PO9439573,Stock,9/26/2022,,,
"Geiger International, Inc.",PO9440815,Stock,9/29/2022,,,
"Geiger International, Inc.",PO9443878,Stock,9/29/2022,,,
"Geiger International, Inc.",PO9441767,Stock,9/30/2022,,,
"Geiger International, Inc.",PO9441768,Stock,9/30/2022,,,
GLOSTER FURNITURE,PO9470764,Stock,9/16/2022,,,
Greentree Home Candle LLC,PO9424937,Stock,10/19/2022,Newness,,
GRUPO IDEMO SA DE CV,PO9468332,Stock,11/2/2022,Newness,,
GRUPO IDEMO SA DE CV,PO9451120,Stock,8/29/2022,,,
GRUPO IDEMO SA DE CV,PO9459034,Stock,9/26/2022,,,
GUBI A/S,PO9448979,Photo Sample,7/22/2022,Newness,,
GUBI A/S,PO9451629,Studio Sample,10/13/2022,Newness,,
GUBI A/S,PO9452942,Stock,10/31/2022,Newness,,
GUBI A/S,PO9457871,Stock,11/2/2022,Newness,,
GUBI A/S,PO9453718,Stock,11/11/2022,Newness,,
GUBI A/S,PO9453719,Stock,11/11/2022,Newness,,
GUBI A/S,PO9451630,Studio Sample,12/5/2022,Newness,,
GUBI A/S,PO9470180,Stock,12/13/2022,Newness,,
GUBI A/S,PO9452943,Stock,12/23/2022,Newness,,
GUBI A/S,PO9454095,Stock,1/25/2023,Newness,,
GUBI A/S,PO9459063,Stock,1/27/2023,Newness,,
GUBI A/S,PO9440100,Stock,8/10/2022,,,
GUBI A/S,PO9454212,Stock,9/9/2022,,,
GUBI A/S,PO9441265,Stock,9/16/2022,,,
GUBI A/S,PO9446739,Stock,9/16/2022,,,
GUBI A/S,PO9442172,Stock,9/23/2022,,,
GUBI A/S,PO9460331,Stock,9/23/2022,,,
Gubi Design Inc,PO9365871,Stock,2/16/2022,,,
Gubi Design Inc,PO9421115,Stock,3/24/2022,,,
Gubi Design Inc,PO9442213,Stock,5/11/2022,,,
Gubi Design Inc,PO9398400,Stock,5/13/2022,,,
Gubi Design Inc,PO9421940,Contract,6/24/2022,,,
Gubi Design Inc,PO9445611,Contract,9/2/2022,,,
Gubi Design Inc,PO9468381,Stock,9/5/2022,,,
Gubi Design Inc,PO9431239,Contract,9/9/2022,,,
Gubi Design Inc,PO9468391,Stock,9/12/2022,,,
Gubi Design Inc,PO9453597,Contract,9/15/2022,,,
Gubi Design Inc,PO9456229,Stock,9/16/2022,,,
Gubi Design Inc,PO9466948,Contract,9/16/2022,,,
Gubi Design Inc,PO9468382,Stock,9/20/2022,,,
Gubi Design Inc,PO9451644,Stock,9/23/2022,,,
Gubi Design Inc,PO9457718,Stock,9/23/2022,,,
Gubi Design Inc,PO9460545,Stock,9/23/2022,,,
Gubi Design Inc,PO9456226,Stock,9/29/2022,,,
Gubi Design Inc,PO9456230,Stock,9/29/2022,,,
Gubi Design Inc,PO9428457,Stock,9/30/2022,,,
Gubi Design Inc,PO9445278,Stock,9/30/2022,,,
Gubi Design Inc,PO9448388,Contract,9/30/2022,,,
Gubi Design Inc,PO9467966,Contract,9/30/2022,,,
Gubi Design Inc,PO9470807,Stock,9/30/2022,,,
Gubi Design Inc,PO9471177,Contract,9/30/2022,,,
HACHETTE BOOK GROUP USA,PO9427678,Stock,6/15/2022,,,
HACHETTE BOOK GROUP USA,PO9470747,Stock,9/12/2022,,,
HACHETTE BOOK GROUP USA,PO9471275,Stock,9/15/2022,,,
HACHETTE BOOK GROUP USA,PO9450929,Stock,9/16/2022,,,
HACHETTE BOOK GROUP USA,PO9450930,Photo Sample,9/16/2022,,,
HACHETTE BOOK GROUP USA,PO9469338,Studio Sample,9/19/2022,,,
HACHETTE BOOK GROUP USA,PO9469366,Studio Sample,9/21/2022,,,
HAY ApS,PO9411447,Photo Sample,2/4/2022,Newness,,
HAY ApS,PO9404319,Stock,8/26/2022,Newness,,
HAY ApS,PO9400715,Stock,9/2/2022,Newness,,
HAY ApS,PO9418340,Stock,9/2/2022,Newness,,
HAY ApS,PO9418341,Stock,9/2/2022,Newness,,
HAY ApS,PO9427174,Stock,9/2/2022,Newness,,
HAY ApS,PO9445227,Stock,9/5/2022,Newness,,
HAY ApS,PO9418342,Stock,9/9/2022,Newness,,
HAY ApS,PO9400715,Stock,9/16/2022,Newness,,
HAY ApS,PO9462172,Studio Sample,9/21/2022,Newness,,
HAY ApS,PO9418343,Stock,9/23/2022,Newness,,
HAY ApS,PO9418344,Stock,9/23/2022,Newness,,
HAY ApS,PO9443261,Studio Sample,9/30/2022,Newness,,
HAY ApS,PO9470861,Studio Sample,10/12/2022,Newness,,
HAY ApS,PO9465364,Stock,10/17/2022,Newness,,
HAY ApS,PO9469805,Stock,11/16/2022,Newness,,
HAY ApS,PO9465371,Stock,11/17/2022,Newness,,
HAY ApS,PO9465372,Stock,12/15/2022,Newness,,
HAY ApS,PO9411447,Photo Sample,2/4/2022,,,
HAY ApS,PO9371313,Stock,4/22/2022,,,
HAY ApS,PO9398957,Stock,6/24/2022,,,
HAY ApS,PO9443891,Stock,7/11/2022,,,
HAY ApS,PO9461079,Stock,8/8/2022,,,
HAY ApS,PO9432925,Stock,8/10/2022,,,
HAY ApS,PO9400722,Stock,8/19/2022,,,
HAY ApS,PO9454383,Stock,8/29/2022,,,
HAY ApS,PO9450878,Stock,9/2/2022,,,
HAY ApS,PO9456834,Contract,9/2/2022,,,
HAY ApS,PO9457469,Contract,9/9/2022,,,
HAY ApS,PO9423250,Stock,9/16/2022,,,
HAY ApS,PO9461470,Contract,9/16/2022,,,
HAY ApS,PO9464370,Stock,9/16/2022,,,
"HERDMAR - MANUEL MARQUES, HERDEIROS, SA",PO9441730,Studio Sample,7/20/2022,,,
"HERDMAR - MANUEL MARQUES, HERDEIROS, SA",PO9443892,Stock,7/31/2022,,,
"HERDMAR - MANUEL MARQUES, HERDEIROS, SA",PO9379500,Stock,8/1/2022,,,
"HERDMAR - MANUEL MARQUES, HERDEIROS, SA",PO9446518,Stock,8/11/2022,,,
"HERDMAR - MANUEL MARQUES, HERDEIROS, SA",PO9442083,Stock,8/12/2022,,,
"HERDMAR - MANUEL MARQUES, HERDEIROS, SA",PO9451028,Stock,9/7/2022,,,
HERMAN MILLER FOR THE HOME,PO9447834,Studio Sample,7/22/2022,Newness,,
HERMAN MILLER FOR THE HOME,PO9457547,Studio Sample,9/7/2022,Newness,,
HERMAN MILLER FOR THE HOME,PO9449565,Stock,9/13/2022,Newness,,
HERMAN MILLER FOR THE HOME,PO9449567,Stock,9/13/2022,Newness,,
HERMAN MILLER FOR THE HOME,PO9461591,Stock,9/16/2022,Newness,,
HERMAN MILLER FOR THE HOME,PO9461592,Stock,9/23/2022,Newness,,
HERMAN MILLER FOR THE HOME,PO9470863,Studio Sample,9/28/2022,Newness,,
HERMAN MILLER FOR THE HOME,PO9471254,Stock,9/28/2022,Newness,,
HERMAN MILLER FOR THE HOME,PO9461593,Stock,9/30/2022,Newness,,
HERMAN MILLER FOR THE HOME,PO9459314,Studio Sample,10/7/2022,Newness,,
HERMAN MILLER FOR THE HOME,PO9461590,Stock,10/7/2022,Newness,,
HERMAN MILLER FOR THE HOME,PO9461594,Stock,10/7/2022,Newness,,
HERMAN MILLER FOR THE HOME,PO9461595,Stock,10/14/2022,Newness,,
HERMAN MILLER FOR THE HOME,PO9470389,Studio Sample,10/19/2022,Newness,,
HERMAN MILLER FOR THE HOME,PO9445392,Studio Sample,10/27/2022,Newness,,
HERMAN MILLER FOR THE HOME,PO9470400,Studio Sample,11/7/2022,Newness,,
HERMAN MILLER FOR THE HOME,PO9448912,Stock,11/17/2022,Newness,,
HERMAN MILLER FOR THE HOME,PO9445392,Studio Sample,12/5/2022,Newness,,
HERMAN MILLER FOR THE HOME,PO9408263,Studio Sample,3/2/2022,,,
HERMAN MILLER FOR THE HOME,PO9421217,Contract,3/28/2022,,,
HERMAN MILLER FOR THE HOME,PO9397602,Stock,4/19/2022,,,
HERMAN MILLER FOR THE HOME,PO9396793,Stock,4/27/2022,,,
HERMAN MILLER FOR THE HOME,PO9434622,Stock,6/6/2022,,,
HERMAN MILLER FOR THE HOME,PO9423198,Stock,6/7/2022,,,
HERMAN MILLER FOR THE HOME,PO9423306,Stock,6/15/2022,,,
HERMAN MILLER FOR THE HOME,PO9423196,Stock,6/21/2022,,,
HERMAN MILLER FOR THE HOME,PO9414991,Stock,6/24/2022,,,
HERMAN MILLER FOR THE HOME,PO9423601,Stock,6/29/2022,,,
HERMAN MILLER FOR THE HOME,PO9414992,Stock,7/1/2022,,,
HERMAN MILLER FOR THE HOME,PO9454354,Stock,7/1/2022,,,
HERMAN MILLER FOR THE HOME,PO9423604,Stock,7/6/2022,,,
HERMAN MILLER FOR THE HOME,PO9414993,Stock,7/8/2022,,,
HERMAN MILLER FOR THE HOME,PO9423605,Stock,7/13/2022,,,
HERMAN MILLER FOR THE HOME,PO9441644,Stock,7/13/2022,,,
HERMAN MILLER FOR THE HOME,PO9414994,Stock,7/15/2022,,,
